id,douban_id,name,year,rating
0,26985127,一出好戏,2018,7.2
1,26752088,我不是药神,2018,9.0
2,27605698,西虹市首富,2018,6.7
3,25921812,驴得水,2016,8.3
4,1292064,楚门的世界 The Truman Show,1998,9.2
5,27038183,羞羞的铁拳,2017,6.9
6,3742360,让子弹飞,2010,8.7
7,26611804,"三块广告牌 Three Billboards Outside Ebbing, Missouri",2017,8.7
8,1862151,疯狂的石头,2006,8.3
9,26925317,动物世界,2018,7.3
10,3804891,无人区,2013,8.2
11,1292365,活着,1994,9.1
12,5912992,熔炉 도가니,2011,9.2
13,21937445,辩护人 변호인,2013,9.2
14,26614893,完美陌生人 Perfetti sconosciuti,2016,8.6
15,26647117,暴裂无声,2017,8.2
16,1292052,肖申克的救赎 The Shawshank Redemption,1994,9.6
17,25964071,夏洛特烦恼,2015,7.5
18,27133303,超时空同居,2018,6.9
19,1306249,唐伯虎点秋香 唐伯虎點秋香,1993,8.5
20,26698897,唐人街探案2,2018,6.7
21,27092785,李茶的姑妈,2018,5.1
22,10574622,人再囧途之泰囧,2012,7.4
23,4237879,人在囧途,2010,7.5
24,26926321,缝纫机乐队,2017,6.6
25,24750126,荒蛮故事 Relatos salvajes,2014,8.8
26,11525673,布达佩斯大饭店 The Grand Budapest Hotel,2014,8.8
27,1291858,鬼子来了,2000,9.2
28,1292224,飞越疯人院 One Flew Over the Cuckoo's Nest,1975,9.0
29,1900841,窃听风暴 Das Leben der Anderen,2006,9.1
30,1295124,辛德勒的名单 Schindler's List,1993,9.5
31,1316510,射雕英雄传之东成西就 射鵰英雄傳之東成西就,1993,8.7
32,1297518,九品芝麻官,1994,8.2
33,3793023,三傻大闹宝莱坞 3 Idiots,2009,9.2
34,25954475,聚焦 Spotlight,2015,8.8
35,1307739,国产凌凌漆 國產凌凌漆,1994,8.2
36,1304022,大腕,2001,7.7
37,2149806,入殓师 おくりびと,2008,8.8
38,21360417,恐怖直播 더 테러 라이브,2013,8.7
39,1291818,饮食男女 飲食男女,1994,9.1
40,2209573,贫民窟的百万富翁 Slumdog Millionaire,2008,8.5
41,26942645,厕所英雄 Toilet - Ek Prem Katha,2017,7.1
42,24743711,催眠大师,2014,7.6
43,26320029,万万没想到,2015,5.5
44,26754831,绝世高手,2017,6.0
45,1291879,罗生门 羅生門,1950,8.7
46,1292062,美国丽人 American Beauty,1999,8.5
47,1388216,撞车 Crash,2004,8.6
48,1298624,闻香识女人 Scent of a Woman,1992,9.0
49,1301726,兵临城下 Enemy at the Gates,2001,8.4
50,6985810,狩猎 Jagten,2012,9.1
51,1293351,食神,1996,7.8
52,3792799,岁月神偷 歲月神偷,2010,8.6
53,25917973,心迷宫,2014,8.7
